  EVENTID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG ,,,
779331,ISC      ,15-10-1971,39:52.9,-2.1573,102.2323,163,TRUE  ,ISC      ,mb    ,4.6,,,
779394,ISC      ,17-10-1971,05:24.2,-5.0349,102.5535,40.6,      ,ISC      ,mb    ,5.4,,,
779650,ISC      ,26-10-1971,54:50.3,-7.417,106.6047,66,TRUE  ,ISC      ,mb    ,5.2,,,
778331,ISC      ,05-11-1971,57:30.5,-1.9168,100.1214,40.5,      ,ISC      ,mb    ,5.5,,,
778741,ISC      ,22-11-1971,54:04.0,1.8149,97.1619,28,TRUE  ,ISC      ,mb    ,4.9,,,
777844,ISC      ,17-12-1971,59:22.1,1.6375,99.7445,173.2,      ,ISC      ,mb    ,5,,,
777888,ISC      ,19-12-1971,33:30.7,-5.0803,102.4442,44,TRUE  ,ISC      ,mb    ,5.3,,,
777957,ISC      ,21-12-1971,23:35.2,1.8541,99.2618,143.9,      ,ISC      ,mb    ,5.1,,,
778061,ISC      ,26-12-1971,26:48.1,-6.5137,107.0029,150,TRUE  ,ISC      ,mb    ,4.8,,,
778128,ISC      ,28-12-1971,45:58.7,9.0392,94.0543,39.8,      ,ISC      ,mb    ,5,,,
776822,ISC      ,10-01-1972,57:14.7,-3.3269,102.478,95,TRUE  ,ISC      ,mb    ,5,,,
776997,ISC      ,17-01-1972,42:32.5,-1.9103,99.6431,27.3,      ,ISC      ,mb    ,5,,,
777003,ISC      ,18-01-1972,31:16.4,-6.2854,103.9465,42,TRUE  ,ISC      ,mb    ,5.4,,,
777080,ISC      ,21-01-1972,02:36.6,-2.5741,102.4121,187,TRUE  ,ISC      ,mb    ,4.5,,,
777243,ISC      ,26-01-1972,41:57.7,-2.5547,102.4999,172.1,      ,ISC      ,mb    ,5.4,,,
777377,ISC      ,31-01-1972,26:58.7,-1.9133,99.8817,34,TRUE  ,ISC      ,mb    ,4.5,,,
775961,ISC      ,04-02-1972,20:10.0,7.9823,93.9981,90.6,      ,ISC      ,mb    ,5.3,,,
775998,ISC      ,05-02-1972,55:52.4,-6.6269,104.8351,49,TRUE  ,ISC      ,mb    ,5,,,
774981,ISC      ,02-03-1972,15:59.6,-1.9516,99.6776,30,TRUE  ,ISC      ,mb    ,4.8,,,
775175,ISC      ,06-03-1972,02:41.1,-1.9306,99.7934,34,TRUE  ,ISC      ,mb    ,5.1,,,
775302,ISC      ,12-03-1972,37:32.2,-9.0861,106.0619,35,TRUE  ,ISC      ,mb    ,4.9,,,
775507,ISC      ,20-03-1972,11:25.1,-1.1236,100.2379,46.8,      ,ISC      ,mb    ,4.9,,,
775518,ISC      ,20-03-1972,56:09.2,-6.8497,105.4272,56,TRUE  ,ISC      ,mb    ,5.5,,,
775699,ISC      ,26-03-1972,39:48.6,-5.8204,104.2997,65.7,      ,ISC      ,mb    ,5.1,,,
774445,ISC      ,14-04-1972,15:15.5,-6.7435,105.6071,56,TRUE  ,ISC      ,mb    ,5.5,,,
774483,ISC      ,16-04-1972,27:57.7,-1.9019,99.7692,40.8,      ,ISC      ,mb    ,5.3,,,
774688,ISC      ,23-04-1972,40:07.9,-5.6515,104.1266,69.6,      ,ISC      ,mb    ,5.5,,,
774834,ISC      ,27-04-1972,51:07.7,-0.5804,99.5179,54,TRUE  ,ISC      ,mb    ,5.3,,,
773058,ISC      ,01-05-1972,45:59.4,-4.4223,102.9727,93.1,      ,ISC      ,mb    ,5.2,,,
773268,ISC      ,08-05-1972,43:41.7,-5.0686,103.3966,49,TRUE  ,ISC      ,mb    ,5.2,,,
773742,ISC      ,23-05-1972,30:50.0,-2.2357,99.4526,30,TRUE  ,ISC      ,mb    ,5,,,
772160,ISC      ,02-06-1972,50:51.0,3.5174,96.6621,50.9,      ,ISC      ,mb    ,5.4,,,
772237,ISC      ,05-06-1972,17:36.0,3.42,96.6096,25,TRUE  ,ISC      ,mb    ,4.6,,,
772244,ISC      ,06-06-1972,38:35.7,-2.1175,100.7271,56,TRUE  ,ISC      ,mb    ,5,,,
772563,ISC      ,15-06-1972,52:03.9,-6.5473,105.2914,78.6,      ,ISC      ,mb    ,5.5,,,
772712,ISC      ,20-06-1972,17:25.7,-7.3633,106.1371,32,TRUE  ,ISC      ,mb    ,5.4,,,
771277,ISC      ,04-07-1972,03:20.4,-7.63,106.5599,66,TRUE  ,ISC      ,mb    ,5.3,,,
771618,ISC      ,16-07-1972,09:06.6,-3.1281,100.9594,29.5,      ,ISC      ,mb    ,5.6,ISC      ,MS    ,5.8
772031,ISC      ,30-07-1972,58:36.2,-5.7866,102.5901,41.2,      ,ISC      ,mb    ,5.4,,,
770115,ISC      ,01-08-1972,36:59.3,-4.0552,102.245,79,      ,ISC      ,mb    ,5.5,,,
770319,ISC      ,06-08-1972,12:24.2,-6.5736,105.1177,49,TRUE  ,ISC      ,mb    ,5.3,,,
770396,ISC      ,09-08-1972,17:36.3,7.9416,94.0615,10.8,      ,ISC      ,mb    ,5.2,ISC      ,MS    ,5.5
770408,ISC      ,09-08-1972,48:41.0,7.9917,94.1938,18.2,      ,ISC      ,mb    ,5,,,
770793,ISC      ,21-08-1972,57:15.6,-8.2648,105.8847,31,TRUE  ,ISC      ,mb    ,5,,,
770889,ISC      ,24-08-1972,19:35.0,-5.3223,102.6943,34,TRUE  ,ISC      ,mb    ,4.8,,,
768924,ISC      ,02-09-1972,20:54.0,-6.3165,103.6795,42,TRUE  ,ISC      ,mb    ,5.3,,,
769674,ISC      ,20-09-1972,02:46.0,-4.2331,101.4873,41,      ,ISC      ,mb    ,5.2,,,
769692,ISC      ,21-09-1972,10:13.9,2.7919,95.9795,32.6,      ,ISC      ,mb    ,5.4,,,
769693,ISC      ,21-09-1972,46:41.5,2.9707,96.1305,31,TRUE  ,ISC      ,mb    ,5,,,
769909,ISC      ,25-09-1972,30:18.8,9.6412,93.5044,29,TRUE  ,ISC      ,mb    ,5.3,,,
770014,ISC      ,28-09-1972,00:36.6,-5.9278,105.3622,10,TRUE  ,ISC      ,mb    ,4.9,,,
768122,ISC      ,06-10-1972,22:06.3,3.2076,98.491,145.2,      ,ISC      ,mb    ,5.2,,,
768705,ISC      ,26-10-1972,01:51.0,-4.7235,102.1626,37,TRUE  ,ISC      ,mb    ,5.4,,,
768886,ISC      ,31-10-1972,24:13.8,-6.2027,104.8723,70,TRUE  ,ISC      ,mb    ,5.8,,,
767106,ISC      ,07-11-1972,21:11.9,-6.2619,104.5343,72.9,      ,ISC      ,mb    ,5.2,,,
767512,ISC      ,19-11-1972,35:21.4,-5.0746,102.5229,34,TRUE  ,ISC      ,mb    ,5.3,,,
767722,ISC      ,26-11-1972,49:18.5,-6.348,104.9668,10,TRUE  ,ISC      ,mb    ,4.8,,,
765804,ISC      ,07-12-1972,44:18.9,-4.5968,103.086,64,TRUE  ,ISC      ,mb    ,4.9,,,
765843,ISC      ,08-12-1972,48:42.9,-1.9202,99.5992,29.9,      ,ISC      ,mb    ,5.5,ISC      ,MS    ,5.6
765847,ISC      ,08-12-1972,48:16.2,-1.9819,99.5483,37,      ,ISC      ,mb    ,5.2,,,
765872,ISC      ,08-12-1972,13:04.5,-1.9144,99.6322,21.6,      ,ISC      ,mb    ,5.6,ISC      ,MS    ,6
765985,ISC      ,11-12-1972,34:47.7,-1.8828,99.5217,10,TRUE  ,ISC      ,mb    ,5.3,,,
766076,ISC      ,12-12-1972,45:47.6,-1.9609,99.5041,52,      ,ISC      ,mb    ,4.7,,,
766341,ISC      ,18-12-1972,57:05.8,-1.7968,99.6606,31.5,      ,ISC      ,mb    ,5.8,ISC      ,MS    ,5.7
