"","DATE","TIME","LAT","LON","DEPTH","MAG","Interevent_Count"
"133","12-06-2010","26:50.1",7.8381,91.9534,32.7,7,49
"134","26-06-2010","50:44.7",-8.0509,108.0342,88.6,6,65
"135","25-10-2010","42:22.6",-3.5419,100.0858,22.9,6.3,191
"136","25-10-2010","37:30.8",-3.0095,100.3671,25.7,6,18
"137","17-01-2011","20:56.9",-5.1037,102.6023,39.1,6.1,246
"138","03-04-2011","06:43.3",-9.7342,107.7693,31.9,6.3,85
"139","28-05-2011","07:41.9",-5.7267,103.4597,42.5,6,80
"140","22-08-2011","12:21.3",-6.3564,104.0049,33.4,6,125
"141","05-09-2011","55:12.9",3.0253,97.9991,106.6,6.5,18
"142","10-01-2012","37:00.2",2.4307,93.2081,20.9,6.5,147
"143","11-04-2012","38:37.8",2.2376,93.0144,26.3,7.2,141
"144","11-04-2012","43:10.5",0.7675,92.4284,21.6,6.8,45
"145","15-04-2012","57:40.1",2.581,90.3359,25,6,245
"146","23-06-2012","34:53.6",3.0022,97.9116,101.9,6.1,219
"147","14-09-2012","51:48.1",-3.3008,100.6703,23.3,6,107
"148","10-01-2013","47:05.1",4.7427,95.0989,51.7,6,122
"149","13-06-2013","47:25.8",-9.9513,107.3023,20.6,6.3,184
"150","25-01-2014","14:20.5",-8.0446,109.2225,87.8,6,281
"151","21-03-2014","41:09.9",7.6804,94.2252,19.3,6,68
"152","08-11-2015","34:57.4",0.7516,98.9041,82.8,6,831
"153","08-11-2015","47:02.9",6.8143,94.4805,16.2,6,32
"154","02-03-2016","49:48.8",-4.9196,94.2507,26.1,7,161
"155","10-04-2016","14:34.4",-4.1764,102.2558,51.7,6,55
"156","01-06-2016","56:01.3",-2.0793,100.695,62.5,6.3,58
"157","06-12-2016","03:34.2",5.2784,96.14,13.8,6.2,174
"158","13-08-2017","08:12.8",-3.6294,101.7417,49.9,6.3,249
"159","31-08-2017","06:56.1",-1.1834,99.7536,54,6,12
"160","15-12-2017","47:58.0",-7.5979,108.1023,100.6,6.5,97
